RefSerieUID,dice_score,hsdff,hsdff_95,asd
1.3.6.1.4.1.14519.5.2.1.141027427426616411450439599560783778187,0.846965,15.475681,2.25,2.8379040125451511
1.3.6.1.4.1.14519.5.2.1.241599144333158650638709005854411131023,0.804165,10.985814,2.25,2.7927881049183005
1.3.6.1.4.1.14519.5.2.1.314432724305817524955015118147376967734,0.888297,11.191215,2.25,1.8043003039785335
1.3.6.1.4.1.14519.5.2.1.5225327951178632327980880864509257483,0.793193,13.046758,2.25,2.8425342963085
1.3.6.1.4.1.14519.5.2.1.130940586809688364193355181356689229043,0.818559,10.10504,2.25,2.5142853588006666
1.3.6.1.4.1.14519.5.2.1.179163944209737098033023448720970506013,0.80522,11.654475,2.25,2.4837692517062471
1.3.6.1.4.1.14519.5.2.1.181026185745458951019423693361914969428,0.814998,9.613024,2.25,2.4458473602724937
1.3.6.1.4.1.14519.5.2.1.57817958168077111423837777153404470211,0.753757,9.752503,2.25,2.9355554417629586
1.3.6.1.4.1.14519.5.2.1.301318631097706232412477686626952320738,0.822107,14.763783,3,2.6393149089669632
1.3.6.1.4.1.14519.5.2.1.86468801022876021368602404390378084388,0.807434,18.648529,4.5,3.55458096154133
1.3.6.1.4.1.14519.5.2.1.156160832450394940645411274825758816516,0.789545,11.654475,5.25,2.7834136215579122
1.3.6.1.4.1.14519.5.2.1.157745670497400188180242003710170469769,0.935777,4.506939,0.625,0.47514607107865481
1.3.6.1.4.1.14519.5.2.1.78877036255365438833583956369471780213,0.917108,7.241648,0.75,1.4084228467520985
1.3.6.1.4.1.14519.5.2.1.14890947048311406292242214732758933789,0.915086,6.392239,0.75,1.8303990262575049
1.3.6.1.4.1.14519.5.2.1.87455067845041953827210314758835330778,0.92191,7.872911,0.75,1.4382132009014512
1.3.6.1.4.1.14519.5.2.1.169475047529410431517891781007357453002,0.92413,6.418058,0.75,1.3323296879859046
1.3.6.1.4.1.14519.5.2.1.18474610211700267732846295912138977793,0.917116,5.572158,0.75,1.3435853991264464
1.3.6.1.4.1.14519.5.2.1.242963180355310492271691702985670347504,0.923882,7.713439,0.75,1.6003803021530185
1.3.6.1.4.1.14519.5.2.1.189899733528904116101767149290507076352,0.904744,4.807424,0.75,1.1710837997707795
1.3.6.1.4.1.14519.5.2.1.127739306945970219624827562025704181487,0.920975,4.044914,0.75,1.2137190484558644
1.3.6.1.4.1.14519.5.2.1.172598426730052120215919163774820917444,0.9116,7.558568,0.75,1.3447571202463788
1.3.6.1.4.1.14519.5.2.1.333755303742649674695864225091036261281,0.913412,6.137071,0.75,1.4101727704410429
1.3.6.1.4.1.14519.5.2.1.75997791558721097202648672292028126236,0.921939,7.616686,0.75,1.2852437612834062
1.3.6.1.4.1.14519.5.2.1.209279035669509206022201745382211107306,0.911068,5.370666,0.75,1.2017584454188479
1.3.6.1.4.1.14519.5.2.1.137896575846651167504532891656095082694,0.922744,5.631648,0.75,1.085955877656843
1.3.6.1.4.1.14519.5.2.1.327501694557419849072579301575102953081,0.925226,5.631649,0.75,1.0625017658593638
1.3.6.1.4.1.14519.5.2.1.115442909272657972858266367055153267464,0.907401,5.061807,0.75,1.2800052720064377
1.3.6.1.4.1.14519.5.2.1.301207258744111090390107833236198833930,0.926791,5.68963,0.75,1.220709505260323
1.3.6.1.4.1.14519.5.2.1.292982752598199983365741483216050855147,0.912456,4.73866,0.75,1.3308724618800882
1.3.6.1.4.1.14519.5.2.1.109641610794595562575515469128178655913,0.917233,6.155417,0.75,1.3025566722560951
1.3.6.1.4.1.14519.5.2.1.90139449466774438882692122145213949404,0.93525,10.604475,0.75,1.5191047470759655
1.3.6.1.4.1.14519.5.2.1.33095902035592496216637120628355481756,0.919704,4.984994,0.75,1.5845978186834437
1.3.6.1.4.1.14519.5.2.1.273202456014137052962635933764384764306,0.912122,4.5,0.75,1.136663763440027
